Gene	log2(MB231_day21)-log2(MB231_day7)	log2(LM2_day21)-log2(LM2_day7)
RADIL	0.544966641	1.334968354
RAE1	-0.948566764	-1.068761645
RAET1E	0.167669045	-0.723266731
RAET1G	-0.132915074	-0.309645746
RAET1L	-0.388956321	-2.685169146
RAF1	-0.732465208	-0.152031843
RAG1	-0.342883485	-0.292592893
RAG2	-0.417911723	-0.260799359
RAI1	-0.192997392	-0.085937444
RAI14	-0.010658483	-0.97716383
RAI2	-0.038531577	-0.158661223
RALA	-0.170260051	-2.417119638
RALB	-0.344723749	-0.785331692
RALBP1	0.245537771	-0.725091208
RALGAPA1	-0.570421882	-0.881604059
RALGAPA2	0.042691359	-0.917641818
RALGAPB	-0.192787016	0.278615031
RALGDS	-0.250814185	0.175365103
RALGPS1	-0.205292966	-0.652789349
RALGPS2	-0.26066416	-0.893927801
RALY	0.038275674	-1.22968713
RALYL	-0.34817405	-1.291225246
RAMP1	-0.661425145	-1.053451383
RAMP2	0.1663296	0.2508517
RAMP3	-0.255038886	-0.627002823
RAN	-1.576498152	-2.393453855
RANBP1	-0.51674992	-0.556848728
RANBP10	-0.028704026	-0.124831041
RANBP17	-0.050962846	0.014878385
RANBP2	-1.695752378	-0.394421329
RANBP3	-0.847759573	-0.719059469
RANBP3L	-0.00553669	-0.373209389
RANBP6	-0.456032944	-0.081475553
RANBP9	-0.533786081	-1.179736758
RANGAP1	-0.700655584	-4.249950881
RANGRF	-0.261204894	0.134334319
RAP1A	0.133891224	0.142519921
RAP1B	-0.03701059	-0.592812776
RAP1GAP	-0.029482814	0.260123917
RAP1GAP2	-0.621103122	-0.705765227
RAP1GDS1	-0.548441649	0.481995512
RAP2A	0.108482987	-0.537018989
RAP2B	-0.03730911	-1.129627293
RAP2C	-0.291464363	-0.254838586
RAPGEF1	-0.370249057	-0.84051342
RAPGEF2	0.001354395	-0.349791135
RAPGEF3	0.306372846	0.191555437
RAPGEF4	-0.598375662	-1.302894733
RAPGEF5	-0.077119297	-1.478621174
RAPGEF6	-0.825746108	0.44626356
RAPGEFL1	-0.430440052	-0.415266597
RAPH1	-0.683268797	-0.064809969
RAPSN	-0.650626081	-0.428138764
RARA	-0.420712841	-0.588003108
RARB	-0.117908271	-1.271456172
RARG	-0.84907465	-0.867148215
RARRES1	0.021823841	-0.957723393
RARRES2	-0.096959579	-0.271062963
RARRES3	-0.198902684	-0.57927237
RARS	-1.295981717	-1.150536419
RARS2	-1.092082875	-2.634966159
RASA1	-0.6227925	0.360793182
RASA2	0.057229743	-0.511165525
RASA3	0.045027248	-1.463833442
RASA4	-0.133963438	-1.021028427
RASAL1	-0.126546719	-0.300812446
RASAL2	-0.377352429	-0.969753145
RASAL3	0.01653827	-0.740241279
RASD1	-1.133022754	-0.57434367
RASD2	-0.316633673	-0.493638457
RASEF	-0.438102075	-0.450585793
RASGEF1A	-0.195155878	-0.468511147
RASGEF1B	-0.918382391	-0.533016694
RASGEF1C	-0.239764269	-0.124881038
RASGRF1	-0.583428635	-0.673585251
RASGRF2	-1.10279329	0.278606296
RASGRP1	-0.676999636	-1.541741423
RASGRP2	-0.56425602	-0.841919197
RASGRP3	-0.348568811	-0.393787866
RASGRP4	-0.456163984	-0.785660191
RASIP1	-0.152229255	-0.092413928
RASL10A	-0.651975575	-0.705192685
RASL10B	-0.097460087	-0.20695327
RASL11A	-0.293803077	0.101474649
RASL11B	0.149885566	-0.640235173
RASL12	-0.178457274	-0.711847491
RASSF1	-0.367929874	0.087509147
RASSF2	-0.089934525	0.030647951
RASSF3	-0.521357951	-0.247174215
RASSF4	-0.266169707	0.153589014
RASSF5	-0.613819161	-0.285627154
RASSF6	-1.691339093	-2.094960067
RASSF7	0.050157907	-1.249458064
RASSF8	-0.559468488	-0.280324757
RASSF9	0.342060453	-0.230683026
RAVER1	0.085226984	-0.23461661
RAVER2	-0.40279186	-0.206127891
RAX	0.047705534	-0.430719609
RAX2	-0.06085833	-2.45014547
RB1	-0.832127704	0.832633174
RB1CC1	-0.213980855	-0.795626964
RBBP4	-0.542884703	-1.122089334
RBBP5	-0.937711209	-1.562825197
RBBP6	-1.012864601	-1.463783585
RBBP7	-0.941598187	-0.289047005
RBBP8	-0.138787262	-3.905896341
RBBP9	-0.130592191	-0.978461292
RBCK1	-0.040858841	0.013945099
RBKS	-0.352312067	-1.432405451
RBL1	-0.388420992	-0.565642545
RBL2	-0.125650628	-1.833870772
RBM10	-0.36329106	-1.03051063
RBM11	-0.747565839	-0.286192259
RBM12	-0.844305683	-1.205730683
RBM12B	-0.151229023	-0.145422898
RBM14	-0.652389309	-3.724696829
RBM15	-0.585619073	-1.480860703
RBM15B	0.154037213	-1.17581347
RBM17	-1.325580781	-1.592303167
RBM18	-0.753905128	-1.303910591
RBM19	-0.796769141	-1.010300305
RBM20	-0.288358548	-0.278097581
RBM22	-0.179328751	-1.310080302
RBM23	-1.042652446	-3.124709308
RBM24	-0.357347244	-1.710176795
RBM25	-0.814518335	-1.980735836
RBM26	0.341119129	-0.604964126
RBM27	-1.027782762	-0.843618664
RBM28	-0.445454991	-0.767783145
RBM3	0.15155426	-0.673775851
RBM33	-0.280642431	-1.168409165
RBM34	-0.342340769	-2.167966745
RBM38	-0.413545697	-0.986124654
RBM39	-0.969808698	-0.974386355
RBM4	-0.134693298	0.350857338
RBM41	-1.072816673	-0.125168096
RBM42	-0.96555333	-0.343505557
RBM43	-0.155433848	-0.34909226
RBM44	-0.32293656	-2.090720019
RBM45	0.247598569	-0.861529077
RBM46	-0.370435334	-0.303018325
RBM47	0.115440242	-1.256046472
RBM4B	0.092761327	-0.954972113
RBM5	-0.128970626	-0.254681474
RBM6	-0.647122979	-1.347500673
RBM7	-0.231948397	-1.023109233
RBM8A	-1.09500936	-2.500486671
RBMS1	-0.604955478	-1.330473497
RBMS2	-0.338491135	-1.579251914
RBMS3	-0.639870987	-1.563726379
RBMX	-1.036989272	-1.895675224
RBMX2	-0.535208623	-1.424673619
RBMXL1	-0.53055066	-3.181874895
RBMXL2	-0.426058988	-0.37139865
RBMXL3	-0.119223987	-0.388538621
RBMY1J	0.091093059	-0.155336945
RBP1	0.055975643	-0.766486678
RBP2	-0.165550002	-0.375690797
RBP3	-0.100670994	-1.085883805
RBP4	0.237612488	-1.059394547
RBP5	0.071271805	0.60550231
RBP7	-0.554508769	-0.604002792
RBPJ	0.358077324	0.59549927
RBPJL	-0.429531214	-1.431616933
RBPMS	0.082220174	-0.05745627
RBPMS2	0.303007329	-0.616027002
RBX1	-2.675955782	-2.225324733
RC3H1	-0.738442702	-0.885342538
RC3H2	-0.132767666	-1.059774329
RCAN1	-0.086782531	-0.570115628
RCAN2	0.123388063	-0.042593647
RCAN3	0.012257685	0.03606925
RCBTB1	-0.426811919	-0.032278546
RCBTB2	0.089245775	-0.275341576
RCC1	-1.062112557	-2.768495416
RCC2	-0.275219541	-0.828517081
RCCD1	-0.389074503	-1.252163769
RCE1	0.019478038	-1.894940207
RCHY1	-0.472713971	-0.574489746
RCL1	-1.734212591	-1.192008681
RCN1	-0.268407648	-0.461644851
RCN2	-0.022133099	-0.372031671
RCN3	-1.025231255	-0.311958683
RCOR1	-0.707890754	-0.448232885
RCOR2	-1.339921315	-0.807459053
RCOR3	0.275478358	-0.338912278
RCSD1	-0.640428457	-2.468534516
RCVRN	-0.329489962	-0.692734497
RD3	0.024316263	-0.413184198
RDH10	0.154576487	-0.756924805
RDH11	-0.708193787	-1.62874019
RDH12	-0.394910897	-0.932746988
RDH13	-0.330625008	-1.343428007
RDH14	-0.073782282	-0.668196046
RDH16	-0.791224307	-0.887203012
RDH5	-0.657094301	-2.832935355
RDH8	-0.188538915	-0.907920683
RDM1	-0.741433635	-1.469645611
RDX	-0.569310965	-1.373276911
REC8	0.224304804	-1.370333467
RECK	-0.178915579	-0.326858562
RECQL	-0.44156261	-0.404060956
RECQL4	-0.339324671	-2.623002863
RECQL5	-0.223955016	-1.14045152
REEP1	-0.10676398	-0.03670089
REEP2	-0.281677108	-2.415817801
REEP3	-0.309941366	-0.256481993
REEP4	-0.170727575	-3.380716958
REEP5	-0.361306796	-1.002306972
REEP6	-0.217372975	-0.871947661
REG1A	-0.039025683	-1.457830226
REG1B	-0.146105081	-0.668075341
REG3A	-0.257301834	-0.006047704
REG3G	-0.082073511	-1.010031862
REG4	-0.029785282	-0.557518422
REL	-0.441912587	-0.718090399
RELA	-1.006516223	-2.995888488
RELB	-0.076252158	-1.863551706
RELL1	0.090141426	-0.94410458
RELL2	-0.419073815	-1.455498213
RELN	-0.159321731	-0.654739263
RELT	-0.156111157	-0.381304338
REM1	-0.445776444	-0.38239124
REM2	-0.776621831	0.255755502
REN	-1.270981585	-2.692471661
RENBP	0.361395211	0.273168718
REP15	-0.119218518	-2.528436248
REPIN1	-0.59960674	-0.206914205
REPS1	-0.199877109	-0.631521166
REPS2	0.222783591	-0.43669073
RER1	-0.215629467	-1.163144899
RERE	-0.552692058	-0.277874149
RERG	-0.120613609	-0.733021976
RERGL	-0.221473708	-1.349774152
RESP18	0.128502131	-0.465335164
REST	-0.314190816	-0.012164467
RET	0.29544939	-0.587968646
RETN	-0.54720935	0.05347709
RETNLB	-0.251837773	-1.580816252
RETSAT	-1.066812577	-0.668125454
REV1	0.112288004	-0.992746042
REV3L	-0.867980837	-0.751443248
REXO1	-0.765569546	-0.35888997
REXO1L1	-0.682425946	-3.684528836
REXO2	-0.283171748	-0.835336479
REXO4	-0.169443337	-2.189537225
RFC1	-0.292506799	-0.708626329
RFC2	-0.666604266	-1.199173963
RFC3	0.478094181	-1.274608901
RFC4	-1.471147758	-0.354768344
RFC5	-1.930578119	-1.577987308
RFESD	-0.148017378	-2.56508794
RFFL	0.173969031	-0.585447848
RFK	-1.017750047	-1.067272304
RFNG	-0.634155972	-0.584077489
RFPL1	-0.348898555	-1.74182244
RFPL2	-0.124599098	-1.47278072
RFPL3	0.083821958	0.42933126
RFPL4A	-0.128577205	-0.363064105
RFPL4B	0.094512142	-0.53772004
RFT1	-0.773380869	-2.88828299
RFTN1	-0.14714738	-0.123855567
RFTN2	-0.291468697	-0.374622132
RFWD2	-0.516805943	-1.531533291
RFWD3	-0.773597221	-0.709001783
RFX1	-0.516953616	-0.292138295
RFX2	-0.350396968	-0.744662197
RFX3	0.010833584	-0.410480065
RFX4	-0.260616067	-0.576600401
RFX5	-0.0200206	-2.696478436
RFX6	-0.602013184	-0.863935829
RFX7	-0.374963486	0.152107746
RFX8	-0.129597544	-0.683219633
RFXANK	-0.36740435	-0.928471191
RFXAP	0.11075794	-0.283470772
RGAG1	-0.286016438	-0.829402959
RGAG4	-0.463630682	-1.264753841
RGL1	-0.531677183	-1.050092123
RGL2	-0.272547026	-0.583627468
RGL3	-0.878057123	-0.587660918
RGL4	-0.443545895	-0.585257508
RGMA	-0.408769691	-0.87264893
RGMB	-0.56359471	-1.347011741
RGN	0.140424413	-0.181185118
RGP1	-2.016596375	-1.715765537
RGPD1	0.149012334	0.086131854
RGPD3	-1.470063964	-2.209147783
RGPD4	-0.394446459	-2.166747486
RGPD6	-2.407799491	-1.615204704
RGR	-0.06312459	-1.657384859
RGS1	-0.433425182	-0.789362448
RGS10	-0.121794099	0.076675651
RGS11	-0.328067712	-0.524386991
RGS12	0.135403072	-0.643821537
RGS13	0.084617333	-1.19613004
RGS14	-0.895747285	-0.506454729
RGS16	-0.099062067	0.238166598
RGS17	-0.241161155	-0.855921107
RGS18	-0.797201415	-0.652094667
RGS19	-0.739378338	-0.855904469
RGS2	-0.223119478	-0.53556058
RGS20	-0.621141246	-0.393525625
RGS21	0.067905675	-1.692009458
RGS22	-0.487598796	-0.431331199
RGS3	-0.809345174	-1.002703285
RGS4	-0.341107745	-1.295238436
RGS5	-0.514871198	-0.8565192
RGS6	-0.201309328	-1.172501946
RGS7	-1.104964416	-1.962530014
RGS7BP	-0.301104763	-1.486254306
RGS8	0.33291416	0.135160643
RGS9	0.12289457	-0.294117104
RGS9BP	-0.323554112	-0.749984992
RGSL1	-0.492170296	-0.891301088
RHAG	-0.173617232	-1.856746919
RHBDD1	-0.096520325	-0.640434514
RHBDD2	-0.209299231	-1.01602813
RHBDD3	-0.426156666	-0.942752969
RHBDF1	-0.347257376	-0.749270096
RHBDF2	0.062827854	-0.888465972
RHBDL2	-0.357470099	-1.50460456
RHBDL3	-0.338203058	-1.46485591
RHCE	-0.299088993	-0.758068859
RHCG	-0.125697527	-0.643026129
RHD	-0.190588811	-0.981579689
RHEB	-0.367276578	-1.174385638
RHEBL1	-0.036337583	-0.773489427
RHO	-0.126366241	0.053323439
RHOA	-0.968018832	-2.125019259
RHOB	0.101418906	-0.639108812
RHOBTB1	0.030315876	-0.912112063
RHOBTB2	-0.218526266	-0.126154807
RHOBTB3	0.018153616	-1.260616422
RHOC	-0.264412103	-0.378751802
RHOD	-0.550681408	-1.374332273
RHOF	-0.109754924	-0.821098743
RHOG	0.222339152	-0.085384204
RHOH	-0.49475266	-0.640242485
RHOJ	-0.08757499	-0.37547568
RHOQ	-0.693932393	-0.938551149
RHOT1	-0.166207084	-0.24844166
RHOT2	-0.49354033	-0.377555988
RHOU	-0.743082968	-0.935979729
RHOV	-0.72149591	-0.048533319
RHOXF1	-0.372100354	-1.24513693
RHOXF2B	-0.441964019	-1.946143828
RHPN1	-0.308334414	-0.452282859
RHPN2	-0.741516272	-0.112346755
RIBC1	-0.15899141	-0.51086039
RIC3	-0.25177611	-1.89490637
RIC8A	-0.251588399	-0.933497401
RIC8B	-0.524766344	-0.373127123
RICTOR	-0.702524048	-0.381663316
RIF1	-0.515111418	-1.186163583
RILP	-0.677221383	-0.518633162
RILPL1	-0.647145702	-0.988525444
RILPL2	-0.047311328	-3.947497826
RIMBP2	-0.209828817	-1.034393761
RIMBP3	-0.487656955	-1.891072779
RIMBP3C	-1.362013971	-0.906616553
RIMKLA	-0.754915742	-1.356523374
RIMKLB	-0.104274869	0.263305581
RIMS1	-0.277461425	-1.075370944
RIMS2	-0.363424535	-0.430665669
RIMS3	-0.23795804	-0.032108614
RIMS4	-0.367044433	-0.552692957
RIN1	0.19316273	-0.273925423
RIN2	-0.049164304	-0.9119475
RIN3	-0.132864819	0.024067599
RING1	0.181717395	-0.497683121
RINL	0.095125702	-1.127910194
RINT1	-1.283616	-1.142713179
RIOK1	-0.957627926	-2.843169933
RIOK2	-0.347899275	-1.059156764
RIOK3	-0.403393388	-1.200553593
RIPK1	0.10843803	-0.604881538
RIPK2	0.065992563	-1.025571233
RIPK3	0.102560256	0.139301175
RIPK4	-0.220255748	-0.329903465
RIPPLY1	-0.166472123	-0.633592335
RIPPLY2	-0.202819563	-0.41289976
RIT1	0.121853516	-2.584202928
RIT2	-0.137701692	0.332744742
RLBP1	-0.320491278	-0.027770289
RLF	-0.205449213	-1.424026872
RLIM	-0.278056399	-1.59772449
RLN1	0.314890632	-0.743348661
RLN2	0.062395664	-0.605223564
RLN3	-1.049800161	-0.268859175
RLTPR	0.077130363	-2.180543466
RMI1	-0.397048799	-2.421573275
RMND1	-0.163941726	-0.788912839
RMND5A	-1.094714059	-0.523932125
RMND5B	-0.55358653	-0.799609766
RNASE1	-0.099637481	-2.091067744
RNASE10	-0.306769388	-0.978923017
RNASE11	-0.1348016	-0.336107054
RNASE12	-0.041773227	-0.368641647
RNASE13	-0.177036605	-0.091816096
RNASE2	-0.144299398	-1.833891349
RNASE3	0.000343608	-0.315501516
RNASE4	-0.74572866	-2.279050797
RNASE6	0.117471365	-0.752648961
RNASE7	-0.602591312	-0.342419696
RNASE8	-0.004673857	-0.592254998
RNASE9	-0.259907592	-0.73898047
RNASEH1	-0.28431922	-0.54930332
RNASEH2A	-0.398856335	-0.500863617
RNASEH2B	-0.688955844	-0.725738441
RNASEH2C	0.086328535	-0.623046127
RNASEK	-0.89595823	-1.988892854
RNASEL	0.102720717	-0.78962993
RNASET2	-0.19033378	-0.17392521
RND1	-0.664254023	-1.465046964
RND2	-0.306735262	-1.242896228
RND3	-0.528198211	-0.561254974
RNF10	-0.088583192	-0.317821653
RNF103	-0.014870987	-1.783371815
RNF11	-0.199600603	-1.164435643
RNF111	-0.652119975	-0.590535712
RNF112	-0.491682863	-1.187302021
RNF113A	-1.188183067	-2.329928241
RNF113B	-0.317767289	-0.657780526
RNF114	-0.567583975	0.760805993
RNF115	-0.42857136	-0.237724127
RNF121	0.071324902	-0.866279327
RNF122	-0.099587243	-0.360373333
RNF123	-0.108445067	0.463215761
RNF125	-0.051140708	-0.831308579
RNF126	-0.002938431	-1.715459421
RNF128	-0.697918938	0.518011345
RNF13	-0.274559862	0.080789214
RNF130	-0.236881376	-0.533714782
RNF133	0.215937634	0.470849659
RNF135	-0.751543496	-0.457382912
RNF138	-0.031942841	-1.355518318
RNF139	0.269273011	-0.492074169
RNF14	-0.576968476	-0.72786195
RNF141	-0.636509802	-1.403692276
RNF144A	-0.306783261	-0.496883566
RNF144B	-0.497868178	-0.6209462
RNF145	-0.218676273	-0.397118958
RNF146	-0.935911941	-0.737079461
RNF148	0.028053662	-0.316202352
RNF149	0.408426294	0.15812788
RNF150	-0.379276883	-1.712750462
RNF151	-0.43353013	-0.17221165
RNF152	-1.082106639	-0.612858195
RNF157	-0.409369884	-0.428197999
RNF165	-0.477195218	-1.19715109
RNF166	-0.780756623	-1.216199366
RNF167	-0.464612392	-0.525324123
RNF168	-0.598747766	-1.064511366
RNF169	-0.620135585	-0.427068963
RNF17	0.100930188	-0.278313369
RNF170	-0.110789788	-0.915381316
RNF175	-0.06572772	-0.50759323
RNF180	-0.097215123	-0.674478792
RNF181	-0.185034641	-0.101471962
RNF182	-0.776025495	-0.610887267
RNF183	-0.40240343	-0.588806247
RNF185	-0.594014373	-0.477240841
RNF186	-0.332213747	-1.189194469
RNF187	-0.136015292	-0.638395576
RNF19A	-0.299153597	-0.977340217
RNF19B	-0.290262149	-0.360594939
RNF2	0.176059241	-0.891416226
RNF20	-1.24452793	-2.752559916
RNF207	-0.369061565	-1.792296768
RNF208	0.189342489	-0.43587792
RNF212	-0.605370777	-0.463815008
RNF213	-0.079821909	0.004905824
RNF214	-0.184204324	-0.055443006
RNF215	-0.423637927	-0.483257187
RNF216	-0.052231847	-0.546071056
RNF217	-0.470747259	-0.147689713
RNF219	-0.130207849	0.138381211
RNF220	-1.054000848	-2.988278392
RNF222	-0.077403865	-2.557576513
RNF24	-0.192987547	-1.450049478
RNF25	0.334603149	-0.939537802
RNF26	-0.352741456	-0.942833881
RNF31	-0.608983728	-0.53756833
RNF32	-0.683180984	0.885339144
RNF34	-0.602151416	-1.147636412
RNF38	-0.142149644	-0.451431346
RNF39	-0.066433469	-1.300613991
RNF4	-0.441924178	-1.167800048
RNF40	0.156480341	-0.673918834
RNF41	-0.141606076	-1.180077945
RNF43	-0.152505864	-0.914368648
RNF44	0.315672029	-0.508987469
RNF5	-0.177617999	-1.477876522
RNF6	-0.137254575	-0.497847054
RNF7	0.521142223	-1.023227468
RNF8	0.221183486	-1.546156428
RNFT1	-0.16159089	-1.590261694
RNFT2	-0.500518679	-0.889704392
RNGTT	-0.890467322	-1.486149844
RNH1	-0.206294083	-0.65611941
RNLS	-0.441373958	-2.471175269
RNMT	-1.293799928	-1.855781791
RNMTL1	0.179102715	-0.34820146
RNPC3	-0.292295048	-0.384852402
RNPEP	-0.233016586	-0.453931574
RNPS1	-2.123280739	-2.707294624
ROBO1	-0.168293087	-0.577897556
ROBO2	-0.963436922	-1.918432848
ROBO3	-0.084813468	-2.022931102
ROBO4	-0.336022175	-1.632614008
ROCK1	0.408117515	-0.356367893
ROCK2	0.374404247	0.129190276
ROGDI	-0.15880802	-1.376092096
ROM1	0.064141487	-0.367628853
ROMO1	-0.294079573	-1.087882133
ROPN1	0.13943808	-1.071415389
ROPN1B	-0.074113938	-0.769785717
ROPN1L	-0.064489998	-0.953831167
ROR1	-0.01635686	0.057579908
ROR2	0.112549475	-1.955555891
RORA	0.08002027	-0.236554098
RORB	-0.143171004	-0.576947141
RORC	-0.385558869	-0.553845194
ROS1	-0.022799616	-0.134010605
RP1	-0.214919034	-0.226470142
RP1L1	0.690396487	-0.739295854
RP2	-0.21713432	-0.905592295
RP9	0.333641359	-1.422798091
RPA1	-0.326720144	-0.253797114
RPA2	-1.245699294	-3.506036887
RPA3	-0.456395182	-0.769609373
RPA4	-0.771267564	0.278628688
RPAIN	-0.997400618	-1.354373559
RPAP1	-0.917456925	-3.123098442
RPAP2	-1.186661364	-1.592400684
RPAP3	-0.267325374	-0.976351744
RPE	-0.30401261	-0.930295953
RPE65	-0.78769209	-0.097271564
RPF1	-1.003587227	-2.161915579
RPF2	-3.182805367	-2.090513908
RPGR	-0.216998915	-1.656020881
RPGRIP1	-1.004932975	-1.408773738
RPGRIP1L	-0.5821882	-1.356388497
RPH3A	-0.391789779	0.137063998
RPH3AL	-0.222089438	-0.870966277
RPIA	-0.388437463	-1.552144424
RPL10	-0.953174372	-1.843108423
RPL10A	-1.308645443	-2.367238105
RPL10L	-0.304328497	-0.182854298
RPL11	-0.708043036	-2.15061819
RPL12	-0.956802916	-3.463927475
RPL13	-3.468012743	-3.579207745
RPL13A	-0.779080803	-1.962618101
RPL14	-0.677190323	-0.579385236
RPL15	-0.367091498	-3.102561951
RPL17	-1.177868284	-2.859289562
RPL18	-0.472987172	-0.427966065
RPL18A	-1.352544046	-3.430636853
RPL19	-0.573290076	-1.246040104
RPL21	-1.329894751	-1.375463671
RPL22	-0.769944243	-3.305208893
RPL22L1	0.816339393	-0.828041924
RPL23	-1.018289596	-2.173170095
RPL23A	-2.634834896	-4.254516102
RPL24	-0.909013321	-0.118065135
RPL26	-2.155297718	-2.692342435
RPL26L1	-1.052936098	-0.97387977
RPL27	0.243147526	-0.051691263
RPL27A	-1.344117139	-2.266647863
RPL28	-1.778166984	-1.757051248
RPL29	-1.279265282	-2.260558398
RPL3	-1.894060691	-1.802846711
RPL30	-0.49187286	-3.60049754
RPL31	-1.12931235	-1.409680527
RPL32	-2.533567385	-1.827852391
RPL34	-1.278756187	-1.390944805
RPL35	-1.451993308	-0.695136253
RPL35A	-1.039077974	-1.965606552
RPL36	-1.69940688	-2.487818552
RPL36A	-0.773646889	-3.839221994
RPL36AL	-0.725514823	-1.375537923
RPL37	-0.715276741	-1.798905113
RPL37A	-2.095204898	-2.033713765
RPL38	-1.565244429	-2.06292661
RPL39	-1.777130011	-4.115570581
RPL39L	-0.25503956	-0.017703536
RPL3L	0.094229451	0.074990149
RPL4	-0.085963118	-1.020205462
RPL41	-1.324811796	-4.355892064
RPL5	-1.106025008	-0.638376786
RPL6	-1.187646179	-2.255911706
RPL7	-1.001230768	-1.906173297
RPL7A	-0.965645133	-1.362915185
RPL7L1	-1.394282001	-0.602602479
RPL8	-2.052752184	-2.190559571
RPL9	-0.984225046	-0.208312778
RPLP0	-1.076094808	-0.252394083
RPLP1	-0.941906518	-1.537466492
RPLP2	-0.423571341	-2.78602066
RPN1	-0.887058051	-0.401466041
RPN2	-0.926150938	-1.525221492
RPP14	-0.62368035	-0.556270981
RPP21	-0.34261509	-0.446462865
RPP25	-0.666730266	0.197936451
RPP30	0.067332283	-0.488600632
RPP38	-1.76254939	-1.265353029
RPP40	-1.123259349	-0.621122145
RPRD1A	-0.103920942	-3.339553415
RPRD1B	-1.244445874	-1.876450876
RPRD2	-1.06134403	-0.45459612
RPRM	-0.580475459	-0.762983438
RPRML	-0.170506695	-1.069477172
RPS10	-2.343593632	-2.376568944
RPS11	-0.914950353	-3.7393407
RPS12	-2.860004671	-1.500534518
RPS13	-0.514518103	-2.255444933
RPS14	-0.938568374	-0.721158599
RPS15	-1.235133322	-1.749363054
RPS15A	-0.417855038	-1.959448148
RPS16	-2.085483461	-3.984332191
RPS18	-1.650829	-1.28670486
RPS19	-1.928468422	-2.115535634
RPS19BP1	-1.513636209	-2.311105761
RPS2	-0.91561248	-2.432473401
RPS20	-1.156442709	-1.211177134
RPS21	-0.899006413	-0.673362842
RPS23	0.115080151	-2.070106906
RPS24	-1.562694988	-2.334533861
RPS25	-0.945955998	-2.151054197
RPS26	-1.745718677	-1.820913731
RPS27	-0.971288428	-1.427227919
RPS27A	-0.562921554	-0.178521881
RPS27L	-0.39134664	-0.422929857
RPS28	-1.837166612	-2.538598161
RPS29	-1.224153589	-1.277958589
RPS3	-0.135849647	-1.269802412
RPS3A	-1.332060947	-2.375025962
RPS4X	-1.508581183	-3.694952247
RPS4Y1	0.426049289	-0.371321553
RPS4Y2	-0.114586702	-0.300071728
RPS5	-1.661409171	-0.822135016
RPS6	-1.037138959	-1.678385923
RPS6KA1	-0.274832126	-0.488762194
RPS6KA2	-0.515254338	-1.534271993
RPS6KA3	-0.348007948	-0.832384291
RPS6KA4	-0.064249509	-1.026265631
RPS6KA5	-0.098010429	-1.12754068
RPS6KA6	-0.570212424	-0.637735187
RPS6KB1	-0.447272861	-0.759049077
RPS6KB2	-0.035729053	0.500963467
RPS6KC1	-0.194091583	-0.556025621
RPS6KL1	-0.113770346	-0.247271544
RPS7	-0.983218413	-3.303880713
RPS8	-2.884314755	-1.441334992
RPS9	-0.746011534	-2.353636184
RPSA	-0.28667035	-0.954815892
RPTN	-0.287333162	-0.489364642
RPTOR	-1.312848294	-2.410196519
RPUSD1	-0.00394243	-2.584132965
RPUSD2	-0.604686853	-0.638328099
RPUSD3	-0.352453172	-0.733583158
RPUSD4	-0.410646633	-0.561319792
RQCD1	-0.66548559	0.116880397
RRAD	-0.154318888	0.236493516
RRAGA	-0.848913725	-1.690202842
RRAGB	-0.363902201	-0.321865741
RRAGC	-0.684989838	-2.661651585
RRAGD	-0.120152	-0.615063782
RRAS	-0.096080389	0.149841618
RRAS2	-0.292730526	0.07065903
RRBP1	-0.044296704	-1.218696001
RREB1	-0.177388949	-2.3787801
RRH	-0.446869411	-1.399986422
RRM1	-0.602524044	-1.239876598
RRM2	-0.97605857	-1.691981864
RRM2B	-0.280301389	-1.200690231
RRN3	-2.117762152	-2.767078728
RRP1	0.032755741	-0.797810853
RRP12	-0.114355287	-1.519481427
RRP15	-0.38585722	-0.009276413
RRP1B	-0.317183058	0.054672573
RRP7A	-0.951579254	-1.250727552
RRP8	-0.310954807	0.236037323
RRP9	-1.440419131	-1.871557977
RRS1	-1.270093989	-2.171528546
RS1	-0.183201031	-0.774094888
RSAD1	-0.797162433	-2.997325336
RSAD2	-0.744329244	-0.538491016
RSBN1	-0.769056742	-0.343739744
RSBN1L	-0.618900467	-2.609578386
RSC1A1	-0.209342415	-0.561032764
RSF1	-0.250656514	-0.608282225
RSL1D1	-1.188214157	-2.713335942
RSL24D1	-0.892976397	-1.179402914
RSPH1	-0.27436623	0.125919772
RSPH10B2	-0.402442992	-1.817697454
RSPH3	-0.509845942	0.367956709
RSPH4A	-0.274624851	-0.316475387
RSPH6A	-0.046699707	-0.450867631
RSPH9	-0.216843298	-0.539729694
RSPO1	0.567942662	-0.177525702
RSPO2	0.03073485	-0.702512807
RSPO3	-0.319945798	-0.260693446
RSPO4	-0.006408634	-0.408027155
RSPRY1	-0.220045384	-0.33090119
RSRC1	-0.465869426	-0.854777397
RSRC2	-0.682051853	0.086615081
RSU1	0.058670539	-0.745162951
RTBDN	-0.245216478	-1.600896839
RTDR1	-0.504220161	-1.426544937
RTEL1	-0.721944594	-0.614799691
RTF1	-2.162626857	-2.298265759
RTKN	-0.01802105	0.030624628
RTKN2	-0.565381732	-0.90841793
RTL1	-0.264699364	-0.948835709
RTN1	-0.191601655	-1.250454305
RTN2	-0.201920955	-0.658459871
RTN3	-0.159424569	-0.212203812
RTN4	0.037683596	-1.07895178
RTN4IP1	-0.424590941	0.237731261
RTN4R	0.116732607	-1.096190429
RTN4RL1	0.06812804	-1.7292029
